run_id,git_commit,dirty,scene,candidate,view,pos_x,pos_y,pos_z,target_x,target_y,target_z,up_x,up_y,up_z,focal,dir_x,dir_y,dir_z,screen_res,hit_fraction,median_hit_over_diagonal,p10_hit_over_diagonal,accepted,reject_reason,scene_diagonal
phase0_2026_09_01,fc3a28f,1,hairball.obj,24,,-1.321921,-1.021564,-0.277980,0.218311,2.961399,2.698599,0.000000,1.000000,0.000000,50.000,0.295891,0.765158,0.571824,64,1.00000,0.03146,0.01353,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,25,,-0.177738,-1.315965,-0.289552,1.241339,1.426876,1.123804,0.000000,1.000000,0.000000,50.000,0.417836,0.807608,0.416151,64,1.00000,0.00464,0.00386,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,26,,-1.345831,0.017975,-0.548158,1.467116,2.715430,1.644166,0.000000,1.000000,0.000000,50.000,0.629069,0.603241,0.490277,64,1.00000,0.00264,0.00211,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,27,,-0.058155,-0.080822,-0.752579,2.900525,1.489361,1.904036,0.000000,1.000000,0.000000,50.000,0.692065,0.367282,0.621409,64,1.00000,0.01147,0.00544,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,28,,0.035060,-0.219310,-0.275618,-0.379098,-1.594603,-1.869035,0.000000,1.000000,0.000000,50.000,-0.193062,-0.641099,-0.742778,64,0.99756,0.01595,0.00257,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,29,,-0.663143,-0.802711,-0.045938,-1.693208,-0.822958,-0.418316,0.000000,1.000000,0.000000,50.000,-0.940274,-0.018482,-0.339917,64,0.99512,0.00604,0.00426,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,30,,-0.502095,-0.364384,0.007042,-0.051594,-0.108005,0.207396,0.000000,1.000000,0.000000,50.000,0.810664,0.461347,0.360532,64,1.00000,0.01590,0.00895,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,31,,-0.443653,-0.916558,0.259631,-1.093556,2.480131,-2.098339,0.000000,1.000000,0.000000,50.000,-0.155268,0.811503,-0.563343,64,1.00000,0.00354,0.00233,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,32,,-0.198935,-0.554694,0.623125,-0.942551,0.420618,0.211634,0.000000,1.000000,0.000000,50.000,-0.574821,0.753924,-0.318086,64,1.00000,0.00559,0.00439,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,33,,-0.068951,-0.129774,0.095063,-0.969158,2.162148,0.504541,0.000000,1.000000,0.000000,50.000,-0.360633,0.918169,0.164041,64,1.00000,0.00564,0.00277,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,34,,-0.138746,-0.315035,0.197946,1.447952,-0.785368,-2.739891,0.000000,1.000000,0.000000,50.000,0.470565,-0.139486,-0.871271,64,1.00000,0.00665,0.00279,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,35,,-0.426414,-0.196371,0.549221,0.832439,-0.672300,-1.020013,0.000000,1.000000,0.000000,50.000,0.608937,-0.230218,-0.759075,64,1.00000,0.01641,0.00728,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,36,,-1.813925,0.804940,-3.374720,0.210613,-0.082772,0.029323,0.000000,1.000000,0.000000,50.000,0.498795,-0.218710,0.838671,64,1.00000,0.04006,0.02163,0,median hit distance too short,15.914934
