run_id,git_commit,dirty,scene,scene_sha256,builder,layout,mode,ray_set,ray_seed,rayset_hash,query_kind,ratio_bin,candidate_count,relevant_hit_count,false_positive_count,invalid_count,probe_node_steps,probe_prim_steps,probe_box_tests,probe_tri_tests,false_positive_node_steps,false_positive_prim_steps,false_positive_box_tests,false_positive_tri_tests,source_analytic,source_steps
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,B,4471768159497229620,closest_improves_incumbent,q_80_90,2448,244,2204,0,19203,7860,38406,7860,16582,6862,33164,6862,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,B,4471768159497229620,closest_improves_incumbent,q_90_100,2946,389,2557,0,21992,8839,43984,8839,19143,7618,38286,7618,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,B,4471768159497229620,closest_improves_incumbent,raw_gt_1,17548,2556,14992,0,291383,70647,582766,70647,225518,55181,451036,55181,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,B,4471768159497229620,closest_improves_incumbent,invalid,0,0,0,0,0,0,0,0,0,0,0,0,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,incoherent,A,8013385005280786154,closest_improves_incumbent,q_00_10,10014,290,9724,0,5348,10324,10696,10324,5073,9935,10146,9935,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,incoherent,A,8013385005280786154,closest_improves_incumbent,q_10_20,8275,802,7473,0,11370,10626,22740,10626,9293,9175,18586,9175,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,incoherent,A,8013385005280786154,closest_improves_incumbent,q_20_30,9145,1525,7620,0,17228,11149,34456,11149,12131,8165,24262,8165,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,incoherent,A,8013385005280786154,closest_improves_incumbent,q_30_40,11719,2614,9105,0,26412,13483,52824,13483,16446,8313,32892,8313,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,incoherent,A,8013385005280786154,closest_improves_incumbent,q_40_50,43342,17346,25996,0,50827,46210,101654,46210,25960,23120,51920,23120,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,incoherent,A,8013385005280786154,closest_improves_incumbent,q_50_60,24790,9590,15200,0,74939,32035,149878,32035,33761,12115,67522,12115,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,incoherent,A,8013385005280786154,closest_improves_incumbent,q_60_70,23845,9627,14218,0,110318,35144,220636,35144,43756,9258,87512,9258,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,incoherent,A,8013385005280786154,closest_improves_incumbent,q_70_80,28274,12855,15419,0,142085,42398,284170,42398,50222,9222,100444,9222,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,incoherent,A,8013385005280786154,closest_improves_incumbent,q_80_90,32793,16460,16333,0,169106,49148,338212,49148,54732,9043,109464,9043,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,incoherent,A,8013385005280786154,closest_improves_incumbent,q_90_100,66979,48416,18563,0,261175,107540,522350,107540,63852,9203,127704,9203,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,incoherent,A,8013385005280786154,closest_improves_incumbent,raw_gt_1,306946,183925,123021,0,3860806,540902,7721612,540902,689765,38355,1379530,38355,S-analytic,S-probe-counterfactual
